"subject" "activity" "domain" "feature" "variable" "direction" "average"
"1" 1 "STANDING" "f" "BodyAcc" "mean()" "X" -0.531895161258213
"2" 1 "STANDING" "f" "BodyAcc" "mean()" "Y" -0.406435448904438
"3" 1 "STANDING" "f" "BodyAcc" "mean()" "Z" -0.596411165253602
"4" 1 "STANDING" "f" "BodyAcc" "meanFreq()" "X" -0.180558714010749
"5" 1 "STANDING" "f" "BodyAcc" "meanFreq()" "Y" 0.0576291646962536
"6" 1 "STANDING" "f" "BodyAcc" "meanFreq()" "Z" 0.0583692776609798
"7" 1 "STANDING" "f" "BodyAcc" "std()" "X" -0.553060616663401
"8" 1 "STANDING" "f" "BodyAcc" "std()" "Y" -0.390150939647061
"9" 1 "STANDING" "f" "BodyAcc" "std()" "Z" -0.498583091676081
"10" 1 "STANDING" "f" "BodyAccJerk" "mean()" "X" -0.547348892435764
"11" 1 "STANDING" "f" "BodyAccJerk" "mean()" "Y" -0.507343617969859
"12" 1 "STANDING" "f" "BodyAccJerk" "mean()" "Z" -0.695305113832853
"13" 1 "STANDING" "f" "BodyAccJerk" "meanFreq()" "X" -0.0488005965884726
"14" 1 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Y" -0.21527915818415
"15" 1 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Z" -0.0964496376997118
"16" 1 "STANDING" "f" "BodyAccJerk" "std()" "X" -0.543979776127867
"17" 1 "STANDING" "f" "BodyAccJerk" "std()" "Y" -0.466251676533372
"18" 1 "STANDING" "f" "BodyAccJerk" "std()" "Z" -0.737861932680115
"19" 1 "STANDING" "f" "BodyAccMag" "mean()" NA -0.478448523354179
"20" 1 "STANDING" "f" "BodyAccMag" "meanFreq()" NA 0.142062162506138
"21" 1 "STANDING" "f" "BodyAccMag" "std()" NA -0.589710231217867
"22" 1 "STANDING" "f" "BodyBodyAccJerkMag" "mean()" NA -0.499075765624092
"23" 1 "STANDING" "f" "BodyBodyAccJerkMag" "meanFreq()" NA 0.200055179527839
